ProbeID,Codeset.Name,Probe.Label,Analyte.Type,Is.Control,Control.Type,Related.Probes,Probe.Annotation,KEGG.Pathways,Cell.Type,Official.Gene.Name,Fusion.Probe.Type,Fusion.Base,SNV.Probe.Type,SNV.LocID,SNV.annot
NM_002227.1:285,NS_Hs_HostResponse_v1.0,JAK1,mRNA,0,,,Type III Interferon Signaling;Type II Interferon Signaling;Type I Interferon Signaling;Treg Differentiation;TH17 Differentiation;TH1 Differentiation;NLR Signaling;Interferon Response Genes;IL-6 Signaling;IL-2 Signaling,hsa04151;hsa04380;hsa04550;hsa04630;hsa05140;hsa05145;hsa05152;hsa05160;hsa05161;hsa05162;hsa05164;hsa05166;hsa05168;hsa05169;hsa05200;hsa05203;hsa05212,,JAK1,,,,,
NM_002401.3:470,NS_Hs_HostResponse_v1.0,MAP3K3,mRNA,0,,,IL-1 Signaling,hsa04010;hsa04722;hsa04912;hsa05166,,MAP3K3,,,,,
NM_002953.3:2000,NS_Hs_HostResponse_v1.0,RPS6KA1,mRNA,0,,,TLR Signaling;MAPK Signaling;IL-17 Signaling,hsa04010;hsa04114;hsa04150;hsa04720;hsa04722;hsa04914;hsa04931,,RPS6KA1,,,,,
NM_003328.1:800,NS_Hs_HostResponse_v1.0,TXK,mRNA,0,,,Myeloid Inflammation;Lymphocyte Trafficking,hsa04670,,TXK,,,,,
NM_003565.1:465,NS_Hs_HostResponse_v1.0,ULK1,mRNA,0,,,Autophagy,hsa04140;hsa04150;hsa04152;hsa04211,,ULK1,,,,,
NM_004327.3:2375,NS_Hs_HostResponse_v1.0,BCR,mRNA,0,,,Myeloid Activation,hsa05200;hsa05220,,BCR,,,,,
NM_004759.3:710,NS_Hs_HostResponse_v1.0,MAPKAPK2,mRNA,0,,,TLR Signaling;IL-17 Signaling,hsa04010;hsa04370;hsa04722;hsa05203,,MAPKAPK2,,,,,
NM_005921.1:2525,NS_Hs_HostResponse_v1.0,MAP3K1,mRNA,0,,,TLR Signaling;RNA Sensing;Myeloid Inflammation;MAPK Signaling,hsa04010;hsa04120;hsa04622;hsa04722;hsa04912;hsa05161;hsa05166,,MAP3K1,,,,,
NM_006257.2:1325,NS_Hs_HostResponse_v1.0,PRKCQ,mRNA,0,,,TCR Signaling;NF-kappaB Signaling;Coagulation,hsa04064;hsa04270;hsa04530;hsa04660;hsa04750;hsa04920;hsa04931;hsa05162,,PRKCQ,,,,,
NM_007199.1:1735,NS_Hs_HostResponse_v1.0,IRAK3,mRNA,0,,,TLR Signaling;IL-1 Signaling,hsa04210;hsa04722,,IRAK3,,,,,
NM_014602.1:3620,NS_Hs_HostResponse_v1.0,PIK3R4,mRNA,0,,,TLR Signaling;Autophagy,hsa04140,,PIK3R4,,,,,
NM_014683.2:2340,NS_Hs_HostResponse_v1.0,ULK2,mRNA,0,,,Autophagy,hsa04140;hsa04150;hsa04211,,ULK2,,,,,
NM_016440.3:820,NS_Hs_HostResponse_v1.0,VRK3,mRNA,0,,,TLR Signaling;IL-17 Signaling,,,VRK3,,,,,
NM_025144.2:2975,NS_Hs_HostResponse_v1.0,ALPK1,mRNA,0,,,ALPK1 Signaling,,,ALPK1,,,,,
NM_145109.1:370,NS_Hs_HostResponse_v1.0,MAP2K3,mRNA,0,,,TNF Signaling;TLR Signaling;Myeloid Inflammation;MAPK Signaling;IL-17 Signaling,hsa04010;hsa04015;hsa04620;hsa04664;hsa04668;hsa04750;hsa04912;hsa05014;hsa05145;hsa05164;hsa05169,,MAP2K3,,,,,
NM_145185.2:495,NS_Hs_HostResponse_v1.0,MAP2K7,mRNA,0,,,TNF Signaling;TLR Signaling;TCR Signaling;Proteotoxic Stress;MAPK Signaling,hsa04010;hsa04012;hsa04141;hsa04380;hsa04620;hsa04660;hsa04664;hsa04668;hsa04722;hsa04912;hsa05164;hsa05169,,MAP2K7,,,,,
NM_145333.1:670,NS_Hs_HostResponse_v1.0,MAP3K7,mRNA,0,,,Type I Interferon Signaling;TNF Signaling;TLR Signaling;TCR Signaling;RNA Sensing;NLR Signaling;NF-kappaB Signaling;Glycan Sensing;BCR Signaling;ALPK1 Signaling,hsa04010;hsa04064;hsa04152;hsa04310;hsa04380;hsa04520;hsa04620;hsa04621;hsa04622;hsa04660;hsa04668;hsa05140;hsa05145;hsa05162;hsa05168;hsa05169,,MAP3K7,,,,,
NM_005194.2:1420,NS_Hs_HostResponse_v1.0,CEBPB,mRNA,0,,,TNF Signaling;Proteotoxic Stress,hsa04668;hsa05152;hsa05202,,CEBPB,,,,,
NM_005442.2:1670,NS_Hs_HostResponse_v1.0,EOMES,mRNA,0,,,Immune Exhaustion,,Exhausted CD8,EOMES,,,,,
NM_006144.2:155,NS_Hs_HostResponse_v1.0,GZMA,mRNA,0,,,Cytotoxicity,hsa04080,Cytotoxic cells,GZMA,,,,,
NM_152866.2:620,NS_Hs_HostResponse_v1.0,MS4A1,mRNA,0,,,Immune Memory,hsa04640,B-cells,MS4A1,,,,,
NM_182907.1:310,NS_Hs_HostResponse_v1.0,PRDM1,mRNA,0,,,BCR Signaling,,,PRDM1,,,,,
NM_002265.4:2580,NS_Hs_HostResponse_v1.0,KPNB1,mRNA,0,,,Myeloid Activation;Interferon Response Genes,,,KPNB1,,,,,
NM_020311.1:375,NS_Hs_HostResponse_v1.0,ACKR3,mRNA,0,,,Chemokine Signaling,hsa04060,,ACKR3,,,,,
NM_198282.1:725,NS_Hs_HostResponse_v1.0,STING1,mRNA,0,,,RNA Sensing;NLR Signaling;Myeloid Activation;DNA Sensing,hsa04622;hsa04623,,STING1,,,,,
NM_001251.2:1140,NS_Hs_HostResponse_v1.0,CD68,mRNA,0,,,Myeloid Activation;Lysosome,hsa04142,Macrophages,CD68,,,,,
NM_021958.2:1190,NS_Hs_HostResponse_v1.0,HLX,mRNA,0,,,TH1 Differentiation,,,HLX,,,,,
NM_000167.3:1505,NS_Hs_HostResponse_v1.0,GK,mRNA,0,,,PPAR Signaling,hsa03320,,GK,,,,,
NM_002647.2:1140,NS_Hs_HostResponse_v1.0,PIK3C3,mRNA,0,,,TLR Signaling;Phagocytosis;Autophagy,hsa00562;hsa04070;hsa04140;hsa04145;hsa05152,,PIK3C3,,,,,
NM_002660.2:2290,NS_Hs_HostResponse_v1.0,PLCG1,mRNA,0,,,TCR Signaling;NK Activity;NF-kappaB Signaling;Interferon Response Genes;HIF1A Signaling,hsa00562;hsa04012;hsa04014;hsa04015;hsa04020;hsa04064;hsa04066;hsa04070;hsa04072;hsa04370;hsa04650;hsa04660;hsa04664;hsa04666;hsa04670;hsa04722;hsa04750;hsa04919;hsa04933;hsa05110;hsa05120;hsa05169;hsa05200;hsa05205;hsa05206;hsa05214;hsa05223;hsa05231,,PLCG1,,,,,
NM_003120.1:730,NS_Hs_HostResponse_v1.0,SPI1,mRNA,0,,,TH9 Differentiation;Myeloid Activation,hsa04380;hsa05166;hsa05169;hsa05200;hsa05202;hsa05221,,SPI1,,,,,
NM_007052.4:455,NS_Hs_HostResponse_v1.0,NOX1,mRNA,0,,,Oxidative Stress Response,hsa04066;hsa04145;hsa04380;hsa04670;hsa04933,,NOX1,,,,,
NM_000552.3:8115,NS_Hs_HostResponse_v1.0,VWF,mRNA,0,,,Complement System;Coagulation,hsa04151;hsa04510;hsa04512;hsa04610;hsa04611,,VWF,,,,,
NM_001001548.2:705,NS_Hs_HostResponse_v1.0,CD36,mRNA,0,,,TLR Signaling;PPAR Signaling;Other Interleukin Signaling;NO Signaling;Myeloid Activation;MHC Class I Antigen Presentation,hsa03320;hsa04145;hsa04152;hsa04512;hsa04640;hsa04920;hsa04931;hsa05144,,CD36,,,,,
NM_001005738.1:620,NS_Hs_HostResponse_v1.0,FPR2,mRNA,0,,,Myeloid Activation;Mononuclear Cell Migration,hsa04080;hsa05150,,FPR2,,,,,
NM_001031683.2:1470,NS_Hs_HostResponse_v1.0,IFIT3,mRNA,0,,,Type I Interferon Signaling,,,IFIT3,,,,,
NM_001192.2:635,NS_Hs_HostResponse_v1.0,TNFRSF17,mRNA,0,,,NF-kappaB Signaling,hsa04060;hsa04672,B-cells,TNFRSF17,,,,,
NM_001548.3:1440,NS_Hs_HostResponse_v1.0,IFIT1,mRNA,0,,,Type I Interferon Signaling;Interferon Response Genes,hsa05160;hsa05168,,IFIT1,,,,,
NM_001553.1:690,NS_Hs_HostResponse_v1.0,IGFBP7,mRNA,0,,,Tissue Stress,,,IGFBP7,,,,,
NM_001725.2:695,NS_Hs_HostResponse_v1.0,BPI,mRNA,0,,,TLR Signaling;Myeloid Activation;Host Defense Peptides,,,BPI,,,,,
NM_001783.3:695,NS_Hs_HostResponse_v1.0,CD79A,mRNA,0,,,BCR Signaling,hsa04662;hsa05340,,CD79A,,,,,
NM_001925.1:210,NS_Hs_HostResponse_v1.0,DEFA4,mRNA,0,,,NLR Signaling;Myeloid Activation;Host Defense Peptides,,,DEFA4,,,,,
NM_002182.2:460,NS_Hs_HostResponse_v1.0,IL1RAP,mRNA,0,,,TH17 Differentiation,hsa04060;hsa04210;hsa04750,,IL1RAP,,,,,
NM_002286.5:1735,NS_Hs_HostResponse_v1.0,LAG3,mRNA,0,,,T-cell Costimulation;MHC Class II Antigen Presentation;Immune Exhaustion,,Exhausted CD8,LAG3,,,,,
NM_002294.2:380,NS_Hs_HostResponse_v1.0,LAMP2,mRNA,0,,,Phagocytosis;Myeloid Activation;Lysosome;Coagulation,hsa04142;hsa04145;hsa05152,,LAMP2,,,,,
NM_002343.2:590,NS_Hs_HostResponse_v1.0,LTF,mRNA,0,,,Myeloid Activation;Host Defense Peptides,,,LTF,,,,,
NM_002994.3:250,NS_Hs_HostResponse_v1.0,CXCL5,mRNA,0,,,TNF Signaling;Chemokine Signaling,hsa04060;hsa04062;hsa04668;hsa05133;hsa05323,,CXCL5,,,,,
NM_005533.3:415,NS_Hs_HostResponse_v1.0,IFI35,mRNA,0,,,Type I Interferon Signaling,,,IFI35,,,,,
NM_006098.4:375,NS_Hs_HostResponse_v1.0,RACK1,mRNA,0,,,TNF Signaling;Oxidative Stress Response,hsa05162,,RACK1,,,,,
NM_016269.3:1165,NS_Hs_HostResponse_v1.0,LEF1,mRNA,0,,,TCR Signaling,hsa04310;hsa04390;hsa04520;hsa04916;hsa05200;hsa05210;hsa05213;hsa05215;hsa05216;hsa05221,,LEF1,,,,,
NM_016323.2:935,NS_Hs_HostResponse_v1.0,HERC5,mRNA,0,,,RNA Sensing;MHC Class I Antigen Presentation;Interferon Response Genes,,,HERC5,,,,,
NM_004152.2:313,NS_Hs_HostResponse_v1.0,OAZ1,mRNA,1,Housekeeping,,,,,OAZ1,,,,,
NM_000593.5:2075,NS_Hs_HostResponse_v1.0,TAP1,mRNA,0,,,Phagocytosis;MHC Class I Antigen Presentation,hsa04145;hsa04612;hsa05168;hsa05340,,TAP1,,,,,
NM_001079821.2:415,NS_Hs_HostResponse_v1.0,NLRP3,mRNA,0,,,NLR Signaling;Inflammasomes,hsa04621;hsa05133;hsa05164,,NLRP3,,,,,
NM_002162.3:1225,NS_Hs_HostResponse_v1.0,ICAM3,mRNA,0,,,Lymphocyte Trafficking;Glycan Sensing,hsa04514,,ICAM3,,,,,
NM_002658.2:793,NS_Hs_HostResponse_v1.0,PLAU,mRNA,0,,,NF-kappaB Signaling;Myeloid Activation;Complement System;Coagulation,hsa04064;hsa04610;hsa05202;hsa05205;hsa05206,,PLAU,,,,,
NM_003151.2:789,NS_Hs_HostResponse_v1.0,STAT4,mRNA,0,,,TH1 Differentiation;IL-2 Signaling,hsa04630;hsa05161;hsa05321,,STAT4,,,,,
NM_005506.2:1825,NS_Hs_HostResponse_v1.0,SCARB2,mRNA,0,,,Lysosome,hsa04142,,SCARB2,,,,,
NM_006273.2:120,NS_Hs_HostResponse_v1.0,CCL7,mRNA,0,,,Mononuclear Cell Migration;Chemokine Signaling,hsa04060;hsa04062,,CCL7,,,,,
NM_006432.3:193,NS_Hs_HostResponse_v1.0,NPC2,mRNA,0,,,Myeloid Activation;Lysosome,hsa04142,,NPC2,,,,,
NM_016337.2:888,NS_Hs_HostResponse_v1.0,EVL,mRNA,0,,,TCR Signaling,,,EVL,,,,,
NM_052942.3:1955,NS_Hs_HostResponse_v1.0,GBP5,mRNA,0,,,Type II Interferon Signaling;NLR Signaling,,,GBP5,,,,,
NM_206939.1:716,NS_Hs_HostResponse_v1.0,MS4A7,mRNA,0,,,Myeloid Inflammation,,,MS4A7,,,,,
NM_000265.4:374,NS_Hs_HostResponse_v1.0,NCF1,mRNA,0,,,MHC Class I Antigen Presentation;Chemokine Signaling,hsa04062;hsa04145;hsa04380;hsa04666;hsa04670;hsa05140,,NCF1,,,,,
NM_002173.2:330,NS_Hs_HostResponse_v1.0,IFNA14/16,mRNA,0,,,Type I Interferon Signaling;RNA Sensing;NLR Signaling;JAK-STAT Signaling;DNA Sensing,hsa04060;hsa04140;hsa04151;hsa04620;hsa04622;hsa04623;hsa04630;hsa04650;hsa05152;hsa05160;hsa05161;hsa05162;hsa05164;hsa05168;hsa05320,,IFNA16,,,,,
NM_015093.3:1377,NS_Hs_HostResponse_v1.0,TAB2,mRNA,0,,,TNF Signaling;TLR Signaling;TCR Signaling;NLR Signaling;NF-kappaB Signaling;Glycan Sensing;ALPK1 Signaling,hsa04010;hsa04064;hsa04380;hsa04620;hsa04621;hsa04668;hsa05140;hsa05145;hsa05162;hsa05168;hsa05169,,TAB2,,,,,
NM_000874.3:631,NS_Hs_HostResponse_v1.0,IFNAR2,mRNA,0,,,Type I Interferon Signaling;NLR Signaling;JAK-STAT Signaling,hsa04060;hsa04151;hsa04380;hsa04620;hsa04630;hsa04650;hsa05160;hsa05162;hsa05164;hsa05168,,IFNAR2,,,,,
NM_003150.3:2060,NS_Hs_HostResponse_v1.0,STAT3,mRNA,0,,,Treg Differentiation;TH17 Differentiation;IL-6 Signaling;IL-2 Signaling;IL-1 Signaling;HIF1A Signaling,hsa04062;hsa04066;hsa04068;hsa04550;hsa04630;hsa04917;hsa04920;hsa04931;hsa04933;hsa05145;hsa05160;hsa05161;hsa05162;hsa05169;hsa05200;hsa05203;hsa05205;hsa05206;hsa05212;hsa05221;hsa05321,,STAT3,,,,,
NM_015474.2:640,NS_Hs_HostResponse_v1.0,SAMHD1,mRNA,0,,,Type I Interferon Signaling,,,SAMHD1,,,,,
NM_004159.4:1215,NS_Hs_HostResponse_v1.0,PSMB8,mRNA,0,,,Type I Interferon Signaling;TCR Signaling;NF-kappaB Signaling;MHC Class I Antigen Presentation;Glycan Sensing;BCR Signaling,hsa03050,,PSMB8,,,,,
NM_020651.3:1550,NS_Hs_HostResponse_v1.0,PELI1,mRNA,0,,,TLR Signaling;IL-1 Signaling,,,PELI1,,,,,
NM_019111.3:335,NS_Hs_HostResponse_v1.0,HLA-DRA,mRNA,0,,,Type II Interferon Signaling;TCR Signaling;MHC Class II Antigen Presentation,hsa04145;hsa04514;hsa04612;hsa04640;hsa04672;hsa04940;hsa05140;hsa05145;hsa05150;hsa05152;hsa05164;hsa05166;hsa05168;hsa05169;hsa05310;hsa05320;hsa05321;hsa05322;hsa05323;hsa05330;hsa05332;hsa05416,,HLA-DRA,,,,,
NM_002183.2:745,NS_Hs_HostResponse_v1.0,IL3RA,mRNA,0,,,JAK-STAT Signaling;IL-2 Signaling,hsa04060;hsa04151;hsa04210;hsa04630;hsa04640,,IL3RA,,,,,
NM_001771.2:2515,NS_Hs_HostResponse_v1.0,CD22,mRNA,0,,,Lymphocyte Trafficking;BCR Signaling,hsa04514;hsa04640;hsa04662,,CD22,,,,,
NM_000789.2:2115,NS_Hs_HostResponse_v1.0,ACE,mRNA,0,,,Angiotensin System,hsa04614;hsa04924;hsa05142;hsa05410,,ACE,,,,,
NM_022555.3:698,NS_Hs_HostResponse_v1.0,HLA-DRB,mRNA,0,,,Type II Interferon Signaling;TCR Signaling;T-cell Costimulation;Phagocytosis;MHC Class II Antigen Presentation;Lymphocyte Trafficking,hsa04145;hsa04514;hsa04612;hsa04640;hsa04672;hsa04940;hsa05140;hsa05145;hsa05150;hsa05152;hsa05164;hsa05166;hsa05168;hsa05169;hsa05310;hsa05320;hsa05321;hsa05322;hsa05323;hsa05330;hsa05332;hsa05416,,HLA-DRB3,,,,,
NM_001127695.1:1540,NS_Hs_HostResponse_v1.0,CTSA,mRNA,0,,,Myeloid Activation;MHC Class II Antigen Presentation;Lysosome;Angiotensin System,hsa04142;hsa04614,,CTSA,,,,,
NM_000404.2:955,NS_Hs_HostResponse_v1.0,GLB1,mRNA,0,,,Myeloid Activation;Lysosome,hsa04142,,GLB1,,,,,
NM_002076.3:1340,NS_Hs_HostResponse_v1.0,GNS,mRNA,0,,,Myeloid Activation;Lysosome,hsa04142,,GNS,,,,,
NM_000591.2:885,NS_Hs_HostResponse_v1.0,CD14,mRNA,0,,,TLR Signaling;NF-kappaB Signaling;Myeloid Activation,hsa04010;hsa04064;hsa04145;hsa04620;hsa04640;hsa04810;hsa05130;hsa05132;hsa05133;hsa05134;hsa05146;hsa05152;hsa05202,,CD14,,,,,
NM_014009.3:1230,NS_Hs_HostResponse_v1.0,FOXP3,mRNA,0,,,Treg Differentiation;TH17 Differentiation,hsa05321,Treg,FOXP3,,,,,
NM_001008540.1:1060,NS_Hs_HostResponse_v1.0,CXCR4,mRNA,0,,,Virus-Host Interaction;Lymphocyte Trafficking;Chemokine Signaling,hsa04060;hsa04062;hsa04144;hsa04360;hsa04670;hsa04672;hsa05200,,CXCR4,,,,,
NM_000206.1:595,NS_Hs_HostResponse_v1.0,IL2RG,mRNA,0,,,TH2 Differentiation;TH17 Differentiation;JAK-STAT Signaling;IL-2 Signaling,hsa04060;hsa04144;hsa04151;hsa04630;hsa05162;hsa05166;hsa05321;hsa05340,,IL2RG,,,,,
NM_000625.4:605,NS_Hs_HostResponse_v1.0,NOS2,mRNA,0,,,Phagocytosis;Other Interleukin Signaling;NO Signaling;HIF1A Signaling,hsa04020;hsa04066;hsa04146;hsa05132;hsa05133;hsa05140;hsa05142;hsa05145;hsa05146;hsa05152;hsa05200;hsa05222,,NOS2,,,,,
NM_001558.2:150,NS_Hs_HostResponse_v1.0,IL10RA,mRNA,0,,,Treg Differentiation;Other Interleukin Signaling;JAK-STAT Signaling,hsa04060;hsa04630;hsa05145;hsa05152;hsa05169,,IL10RA,,,,,
NM_002989.2:180,NS_Hs_HostResponse_v1.0,CCL21,mRNA,0,,,NF-kappaB Signaling;Mononuclear Cell Migration;Chemokine Signaling,hsa04060;hsa04062;hsa04064,,CCL21,,,,,
NM_002184.2:2505,NS_Hs_HostResponse_v1.0,IL6ST,mRNA,0,,,TH17 Differentiation;JAK-STAT Signaling;IL-6 Signaling,hsa04060;hsa04550;hsa04630;hsa05203,,IL6ST,,,,,
NM_001142673.1:1255,NS_Hs_HostResponse_v1.0,ATG13,mRNA,0,,,Autophagy,hsa04140;hsa04211,,ATG13,,,,,
NM_017458.2:700,NS_Hs_HostResponse_v1.0,MVP,mRNA,0,,,Myeloid Activation,,,MVP,,,,,
NM_052902.2:565,NS_Hs_HostResponse_v1.0,STK11IP,mRNA,1,Housekeeping,,,,,STK11IP,,,,,
NM_003249.3:620,NS_Hs_HostResponse_v1.0,THOP1,mRNA,0,,,MHC Class I Antigen Presentation;Angiotensin System,hsa04614;hsa05143,,THOP1,,,,,
NM_000377.2:90,NS_Hs_HostResponse_v1.0,WAS,mRNA,0,,,TCR Signaling;Phagocytosis;Chemokine Signaling,hsa04062;hsa04144;hsa04520;hsa04666;hsa04810;hsa05100;hsa05130;hsa05131;hsa05132;hsa05231,,WAS,,,,,
NM_000757.4:823,NS_Hs_HostResponse_v1.0,CSF1,mRNA,0,,,TNF Signaling;Other Interleukin Signaling;Myeloid Activation;Mononuclear Cell Migration,hsa04014;hsa04015;hsa04060;hsa04151;hsa04380;hsa04640;hsa04668;hsa05323,,CSF1,,,,,
NM_000565.2:993,NS_Hs_HostResponse_v1.0,IL6R,mRNA,0,,,TH17 Differentiation;Mononuclear Cell Migration;JAK-STAT Signaling;IL-6 Signaling;HIF1A Signaling,hsa04060;hsa04066;hsa04151;hsa04630;hsa04640;hsa04932,,IL6R,,,,,
NM_002128.4:208,NS_Hs_HostResponse_v1.0,HMGB1,mRNA,0,,,TLR Signaling;RNA Sensing;Myeloid Activation;Mononuclear Cell Migration;IL-1 Signaling,,,HMGB1,,,,,
NM_000442.3:1365,NS_Hs_HostResponse_v1.0,PECAM1,mRNA,0,,,Myeloid Activation;Mononuclear Cell Migration;Lymphocyte Trafficking;Coagulation,hsa04514;hsa04670;hsa05144,,PECAM1,,,,,
NM_000882.2:775,NS_Hs_HostResponse_v1.0,IL12A,mRNA,0,,,TH1 Differentiation;RNA Sensing;Other Interleukin Signaling;JAK-STAT Signaling,hsa04060;hsa04620;hsa04622;hsa04630;hsa04940;hsa05133;hsa05134;hsa05140;hsa05142;hsa05143;hsa05144;hsa05145;hsa05146;hsa05152;hsa05162;hsa05164;hsa05168;hsa05321;hsa05330,,IL12A,,,,,
NM_003238.2:1125,NS_Hs_HostResponse_v1.0,TGFB2,mRNA,0,,,TGF-beta Signaling;Coagulation,hsa04010;hsa04060;hsa04068;hsa04110;hsa04144;hsa04350;hsa04380;hsa04390;hsa04933;hsa05140;hsa05142;hsa05144;hsa05145;hsa05146;hsa05152;hsa05161;hsa05166;hsa05200;hsa05205;hsa05206;hsa05210;hsa05211;hsa05212;hsa05220;hsa05321;hsa05323;hsa05410;hsa05414,,TGFB2,,,,,
NM_002743.2:417,NS_Hs_HostResponse_v1.0,PRKCSH,mRNA,0,,,Proteotoxic Stress,hsa04141,,PRKCSH,,,,,
NM_002526.2:1214,NS_Hs_HostResponse_v1.0,NT5E,mRNA,0,,,Myeloid Inflammation,,,NT5E,,,,,
NM_003294.3:579,NS_Hs_HostResponse_v1.0,TPSAB1/B2,mRNA,0,,,Virus-Host Interaction,,Mast cells,TPSAB1,,,,,
NM_001618.3:3016,NS_Hs_HostResponse_v1.0,PARP1,mRNA,0,,,TGF-beta Signaling;Oxidative Stress Response;NF-kappaB Signaling;Apoptosis,hsa04064,,PARP1,,,,,
NM_001641.2:727,NS_Hs_HostResponse_v1.0,APEX1,mRNA,0,,,Oxidative Stress Response,,,APEX1,,,,,
NM_000169.2:980,NS_Hs_HostResponse_v1.0,GLA,mRNA,0,,,Myeloid Activation;Lysosome,hsa04142,,GLA,,,,,
NM_001025107.1:3530,NS_Hs_HostResponse_v1.0,ADAR,mRNA,0,,,Type I Interferon Signaling;DNA Sensing,hsa04623;hsa05162;hsa05164,,ADAR,,,,,
NM_002991.2:18,NS_Hs_HostResponse_v1.0,CCL24,mRNA,0,,,Mononuclear Cell Migration;Chemokine Signaling,hsa04060;hsa04062,,CCL24,,,,,
NM_001001974.1:205,NS_Hs_HostResponse_v1.0,PLEKHA1,mRNA,0,,,Oxidative Stress Response,,,PLEKHA1,,,,,
NM_003141.3:1190,NS_Hs_HostResponse_v1.0,TRIM21,mRNA,0,,,Type II Interferon Signaling;MHC Class I Antigen Presentation;DNA Sensing,hsa05322,,TRIM21,,,,,
NM_006164.3:995,NS_Hs_HostResponse_v1.0,NFE2L2,mRNA,0,,,Proteotoxic Stress;Oxidative Stress Response,hsa04141,,NFE2L2,,,,,
NM_003263.3:545,NS_Hs_HostResponse_v1.0,TLR1,mRNA,0,,,TLR Signaling;Myeloid Activation;MHC Class I Antigen Presentation;Host Defense Peptides,hsa04620;hsa05152,,TLR1,,,,,
NM_001114182.1:933,NS_Hs_HostResponse_v1.0,IRAK4,mRNA,0,,,TLR Signaling;NLR Signaling;NF-kappaB Signaling,hsa04064;hsa04210;hsa04620;hsa04722;hsa05133;hsa05140;hsa05142;hsa05145;hsa05152;hsa05162;hsa05164,,IRAK4,,,,,
NM_000064.2:4396,NS_Hs_HostResponse_v1.0,C3,mRNA,0,,,Myeloid Activation;Complement System,hsa04145;hsa04610;hsa05133;hsa05134;hsa05140;hsa05142;hsa05150;hsa05152;hsa05168;hsa05203;hsa05322,,C3,,,,,
NM_000631.4:210,NS_Hs_HostResponse_v1.0,NCF4,mRNA,0,,,Phagocytosis;Oxidative Stress Response;MHC Class I Antigen Presentation,hsa04145;hsa04380;hsa04670;hsa05140,,NCF4,,,,,
NM_001572.3:1583,NS_Hs_HostResponse_v1.0,IRF7,mRNA,0,,,Type II Interferon Signaling;Type I Interferon Signaling;TLR Signaling;RNA Sensing;NLR Signaling;DNA Sensing,hsa04620;hsa04622;hsa04623;hsa05160;hsa05161;hsa05162;hsa05164;hsa05168;hsa05203,,IRF7,,,,,
NM_000889.1:1278,NS_Hs_HostResponse_v1.0,ITGB7,mRNA,0,,,Lymphocyte Trafficking,hsa04151;hsa04510;hsa04512;hsa04514;hsa04672;hsa04810;hsa05202;hsa05410;hsa05414,,ITGB7,,,,,
NM_004513.4:1262,NS_Hs_HostResponse_v1.0,IL16,mRNA,0,,,Other Interleukin Signaling;Myeloid Activation,,,IL16,,,,,
NM_005190.3:744,NS_Hs_HostResponse_v1.0,CCNC,mRNA,0,,,TGF-beta Signaling,,,CCNC,,,,,
NM_019009.2:1320,NS_Hs_HostResponse_v1.0,TOLLIP,mRNA,0,,,TLR Signaling;Myeloid Activation;IL-1 Signaling,hsa04620,,TOLLIP,,,,,
NM_020525.4:319,NS_Hs_HostResponse_v1.0,IL22,mRNA,0,,,TH17 Differentiation;Other Interleukin Signaling;JAK-STAT Signaling,hsa04060;hsa04630;hsa05321,,IL22,,,,,
NM_021822.2:761,NS_Hs_HostResponse_v1.0,APOBEC3G,mRNA,0,,,RNA Sensing,,,APOBEC3G,,,,,
NM_002117.4:895,NS_Hs_HostResponse_v1.0,HLA-C,mRNA,0,,,Type II Interferon Signaling;Type I Interferon Signaling;Myeloid Activation;MHC Class I Antigen Presentation,hsa04144;hsa04145;hsa04514;hsa04612;hsa04650;hsa04940;hsa05166;hsa05168;hsa05169;hsa05203;hsa05320;hsa05330;hsa05332;hsa05416,,HLA-C,,,,,
NM_000391.3:746,NS_Hs_HostResponse_v1.0,TPP1,mRNA,0,,,Lysosome,hsa04142,,TPP1,,,,,
NM_001225.3:88,NS_Hs_HostResponse_v1.0,CASP4,mRNA,0,,,NLR Signaling,,,CASP4,,,,,
NM_002015.3:1526,NS_Hs_HostResponse_v1.0,FOXO1,mRNA,0,,,Treg Differentiation;Oxidative Stress Response;Other Interleukin Signaling,hsa04068;hsa04152;hsa04211;hsa04213;hsa04910;hsa04919;hsa04922;hsa04931;hsa04933;hsa05200;hsa05202;hsa05215,,FOXO1,,,,,
NM_005903.5:1044,NS_Hs_HostResponse_v1.0,SMAD5,mRNA,0,,,TGF-beta Signaling,hsa04350;hsa04550,,SMAD5,,,,,
NM_172140.1:233,NS_Hs_HostResponse_v1.0,IFNL1,mRNA,0,,,Type III Interferon Signaling;Other Interleukin Signaling;JAK-STAT Signaling,hsa04060;hsa04630,,IFNL1,,,,,
NM_013258.3:714,NS_Hs_HostResponse_v1.0,PYCARD,mRNA,0,,,NLR Signaling;Myeloid Activation;Inflammasomes;Glycan Sensing;DNA Sensing,hsa04621;hsa04623;hsa05132;hsa05133;hsa05134;hsa05164,,PYCARD,,,,,
NM_001127183.1:653,NS_Hs_HostResponse_v1.0,CFLAR,mRNA,0,,,TNF Signaling;Oxidative Stress Response;NF-kappaB Signaling,hsa04064;hsa04210;hsa04668;hsa05142,,CFLAR,,,,,
NM_016584.2:411,NS_Hs_HostResponse_v1.0,IL23A,mRNA,0,,,TH17 Differentiation;Other Interleukin Signaling;JAK-STAT Signaling,hsa04060;hsa04630;hsa05133;hsa05152;hsa05321;hsa05323,,IL23A,,,,,
